"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","13.93","14.35","14.48","13.79","1.29M","-1.90%"
"12/30/2024","14.20","14.34","14.64","13.91","1.65M","-0.70%"
"12/27/2024","14.30","14.88","15.03","14.19","1.59M","-4.22%"
"12/26/2024","14.93","14.80","15.22","14.63","1.47M","-0.40%"
"12/24/2024","14.99","15.01","15.10","14.43","1.27M","0.13%"
"12/23/2024","14.97","15.10","15.73","14.91","2.44M","-0.13%"
"12/20/2024","14.99","14.25","15.79","14.18","5.22M","6.24%"
"12/19/2024","14.11","13.71","14.35","12.66","2.79M","5.30%"
"12/18/2024","13.40","14.79","14.99","12.79","2.10M","-9.83%"
"12/17/2024","14.86","13.45","15.02","13.45","3.87M","9.51%"
"12/16/2024","13.57","12.77","13.60","12.63","1.96M","6.93%"
"12/13/2024","12.69","12.25","13.39","12.12","2.72M","3.59%"
"12/12/2024","12.25","12.73","12.89","12.07","1.82M","-4.07%"
"12/11/2024","12.77","13.30","13.48","12.30","1.72M","-2.89%"
"12/10/2024","13.15","12.49","13.24","12.25","2.23M","4.53%"
"12/09/2024","12.58","12.58","12.93","12.32","1.40M","1.45%"
"12/06/2024","12.40","12.43","12.98","12.15","1.51M","0.73%"
"12/05/2024","12.31","12.66","12.91","12.11","1.21M","-2.38%"
"12/04/2024","12.61","12.49","12.71","12.10","1.99M","2.77%"
"12/03/2024","12.27","12.23","12.59","12.21","1.46M","-1.17%"
"12/02/2024","12.41","13.00","13.00","12.23","2.54M","-4.79%"
"11/29/2024","13.04","11.78","13.50","11.67","2.56M","11.36%"
"11/27/2024","11.71","11.60","11.88","11.38","1.70M","1.74%"
"11/26/2024","11.51","10.78","11.64","10.57","2.77M","6.87%"
"11/25/2024","10.77","10.21","11.10","10.21","2.27M","6.21%"
"11/22/2024","10.14","10.23","10.37","10.05","1.11M","-0.98%"
"11/21/2024","10.24","10.26","10.72","10.03","1.48M","0.59%"
"11/20/2024","10.18","10.18","10.42","9.93","1.03M","0.89%"
"11/19/2024","10.09","9.33","10.10","9.19","1.88M","7.00%"
"11/18/2024","9.43","9.27","9.46","8.90","1.96M","1.84%"
"11/15/2024","9.26","9.84","10.04","9.11","3.02M","-6.75%"
"11/14/2024","9.93","10.41","10.59","9.90","2.17M","-5.16%"
"11/13/2024","10.47","10.33","10.76","10.04","2.28M","2.15%"
"11/12/2024","10.25","10.60","10.74","10.20","1.72M","-5.44%"
"11/11/2024","10.84","10.97","11.02","10.74","2.03M","0.18%"
